time,CCTV,V2I
169,1401.28,1263.1477999999993
170,1401.28,1307.1315999999993
171,1401.28,1315.8131999999991
172,1401.28,1308.1601999999991
173,1401.28,1308.1601999999991
174,1401.28,1318.8989999999994
175,1401.28,1328.6091999999994
176,1401.28,1328.6091999999994
177,1401.28,1329.6377999999993
178,1401.28,1337.2907999999993
179,1401.28,1347.0009999999993
180,1401.28,1355.6825999999992
181,1401.28,1366.4213999999993
182,1401.28,1379.217399999999
183,1401.28,1362.8827999999996
184,1401.28,1347.5767999999994
185,1401.28,1336.8379999999995
186,1401.28,1329.1849999999995
187,1401.28,1336.8379999999995
188,1401.28,1346.5481999999995
189,1401.28,1346.5481999999995
190,1401.28,1346.5481999999995
191,1401.28,1358.3155999999994
192,1401.28,1358.3155999999994
193,1401.28,1339.9237999999996
194,1401.28,1349.6339999999996
195,1401.28,1349.6339999999996
196,1401.28,1339.9237999999996
197,1401.28,1330.2135999999996
198,1401.28,1333.2993999999994
199,1401.28,1353.7483999999993
200,1401.28,1364.4871999999991
201,1401.28,1374.197399999999
202,1401.2799999999995,1373.1687999999992
203,1401.2799999999995,1389.0505999999996
204,1401.2799999999995,1381.3975999999996
205,1401.2799999999995,1392.1363999999996
206,1401.2799999999995,1392.1363999999996
207,1401.2799999999995,1401.8465999999994
208,1401.2799999999995,1396.2507999999991
209,1401.2799999999995,1413.6139999999991
210,1401.2799999999995,1426.4099999999992
211,1401.2799999999995,1409.0467999999994
212,1401.2799999999995,1421.8427999999992
213,1401.2799999999995,1412.1325999999992
214,1401.2799999999995,1401.3937999999994
215,1401.2799999999995,1392.7121999999993
216,1401.2799999999995,1381.9733999999992
217,1401.2799999999995,1359.4671999999994
218,1401.2799999999995,1359.4671999999996
219,1401.2799999999995,1380.9447999999995
220,1401.2799999999995,1365.0629999999996
221,1401.28,1356.3813999999995
222,1401.28,1360.9485999999995
223,1401.28,1339.470999999999
224,1401.28,1352.2669999999994
225,1401.28,1359.9199999999994
226,1401.28,1352.2669999999996
227,1401.28,1343.5853999999997
228,1401.28,1323.1363999999994
229,1401.28,1330.7893999999994
230,1401.28,1340.4995999999994
231,1401.28,1321.0791999999994
232,1401.28,1325.1935999999996
233,1401.2799999999995,1328.2793999999997
234,1401.28,1339.0181999999998
235,1401.28,1339.0181999999998
236,1401.28,1372.2632
237,1401.28,1374.3203999999998
238,1401.28,1391.6835999999996
239,1401.28,1371.2345999999995
240,1401.28,1378.8875999999996
241,1401.28,1367.1201999999996
242,1401.28,1375.8017999999995
243,1401.28,1376.8303999999994
244,1401.2799999999995,1403.450999999999
245,1401.2799999999995,1398.307999999999
246,1401.2799999999995,1387.569199999999
247,1401.2799999999995,1389.6263999999992
248,1401.2799999999995,1399.3365999999992
249,1401.2799999999995,1391.6835999999992
250,1401.2799999999995,1401.3937999999991
251,1401.2799999999995,1399.336599999999
252,1401.28,1395.222199999999
253,1401.2799999999995,1385.511999999999
254,1401.28,1385.964799999999
255,1401.2799999999995,1382.8789999999992
256,1401.28,1393.6177999999993
257,1401.28,1393.6177999999993
258,1401.2799999999995,1398.760799999999
259,1401.2799999999995,1398.760799999999
260,1401.2799999999995,1401.846599999999
261,1401.2799999999995,1370.658799999999
262,1401.28,1354.324199999999
263,1401.28,1344.613999999999
