time,v2i static,v2i dynamic,cctv static,cctv dynamic
23460,0.0,424.8618,0.0,1401.2799999999997
23461,0.0,412.0658,0.0,1401.2799999999997
23462,0.0,412.0658,0.0,1401.2799999999997
23463,0.0,413.09440000000006,0.0,1401.2799999999997
23464,0.0,431.4862,0.0,1401.2799999999997
23465,0.0,406.92280000000005,0.0,1401.28
23466,0.0,418.69020000000006,0.0,1401.28
23467,0.0,410.0086,0.0,1401.28
23468,0.0,401.327,0.0,1401.2799999999997
23469,0.0,392.6454,0.0,1401.2799999999997
23470,0.0,402.3556,0.0,1401.2799999999995
23471,0.0,411.0371999999999,0.0,1401.2799999999995
23472,0.0,411.0371999999999,0.0,1401.2799999999995
23473,0.0,411.0371999999999,0.0,1401.2799999999995
23474,0.0,411.0371999999999,0.0,1401.2799999999995
23475,0.0,419.71879999999993,0.0,1401.2799999999997
23476,0.0,431.48619999999994,0.0,1401.2799999999997
23477,0.0,431.48619999999994,0.0,1401.2799999999997
23478,0.0,431.48619999999994,0.0,1401.2799999999997
23479,0.0,431.48619999999994,0.0,1401.2799999999997
23480,0.0,440.1678,0.0,1401.2799999999997
23481,0.0,440.1678,0.0,1401.2799999999997
23482,0.0,431.48619999999994,0.0,1401.2799999999997
23483,0.0,431.48619999999994,0.0,1401.2799999999997
23484,0.0,431.48619999999994,0.0,1401.2799999999997
23485,0.0,431.48619999999994,0.0,1401.2799999999997
23486,0.0,421.77599999999995,0.0,1401.2799999999997
23487,0.0,413.09439999999995,0.0,1401.2799999999997
23488,0.0,412.0658,0.0,1401.2799999999997
23489,0.0,403.3842,0.0,1401.2799999999997
23490,0.0,403.3842,0.0,1401.2799999999997
23491,0.0,401.327,0.0,1401.2799999999997
23492,0.0,379.8494000000001,0.0,1401.2799999999997
23493,0.0,363.51480000000004,0.0,1401.2799999999997
23494,0.0,363.51480000000004,0.0,1401.2799999999997
23495,0.0,371.16780000000006,0.0,1401.2799999999997
23496,0.0,360.4290000000001,0.0,1401.2799999999997
23497,0.0,347.6330000000001,0.0,1401.2799999999997
23498,0.0,347.6330000000001,0.0,1401.2799999999997
23499,0.0,347.6330000000001,0.0,1401.2799999999997
23500,0.0,356.3146000000001,0.0,1401.2799999999997
23501,0.0,356.3146000000001,0.0,1401.2799999999997
23502,0.0,342.4900000000001,0.0,1401.2799999999997
23503,0.0,353.22880000000015,0.0,1401.28
23504,0.0,343.51860000000016,0.0,1401.28
23505,0.0,343.51860000000016,0.0,1401.28
23506,0.0,351.1716000000002,0.0,1401.28
23507,0.0,342.4900000000002,0.0,1401.2799999999997
23508,0.0,342.4900000000002,0.0,1401.2799999999997
23509,0.0,357.79600000000016,0.0,1401.2799999999997
23510,0.0,358.82460000000015,0.0,1401.2799999999997
23511,0.0,358.82460000000015,0.0,1401.2799999999997
23512,0.0,370.59200000000016,0.0,1401.2799999999997
23513,0.0,370.59200000000016,0.0,1401.2799999999997
23514,0.0,378.2450000000002,0.0,1401.2799999999997
23515,0.0,368.5348000000002,0.0,1401.2799999999997
23516,0.0,387.95520000000016,0.0,1401.2799999999997
23517,0.0,387.95520000000016,0.0,1401.2799999999997
23518,0.0,387.95520000000016,0.0,1401.2799999999997
23519,0.0,387.95520000000016,0.0,1401.2799999999997
23520,0.0,387.95520000000016,0.0,1401.2799999999997
23521,0.0,387.95520000000016,0.0,1401.2799999999997
23522,0.0,387.95520000000016,0.0,1401.2799999999997
23523,0.0,387.95520000000016,0.0,1401.2799999999997
23524,0.0,387.95520000000016,0.0,1401.2799999999997
23525,0.0,387.95520000000016,0.0,1401.2799999999997
23526,0.0,383.8408000000002,0.0,1401.2799999999995
23527,0.0,383.8408000000002,0.0,1401.2799999999995
23528,0.0,375.15920000000006,0.0,1401.2799999999995
23529,0.0,375.15920000000006,0.0,1401.2799999999995
23530,0.0,376.18780000000015,0.0,1401.2799999999995
23531,0.0,374.1306000000001,0.0,1401.2799999999995
