time,taxis
75998,188
75999,188
76000,191
76001,193
76002,193
76003,194
76004,190
76005,191
76006,188
76007,189
76008,190
76009,189
76010,187
76011,184
76012,184
76013,184
76014,183
76015,183
76016,183
76017,182
76018,179
76019,177
76020,176
76021,177
76022,179
76023,181
76024,182
76025,181
76026,180
76027,179
76028,182
76029,182
76030,183
76031,181
76032,181
76033,181
76034,178
76035,180
76036,179
76037,176
76038,177
76039,177
76040,175
76041,173
76042,175
76043,177
76044,177
76045,178
76046,179
76047,180
76048,179
76049,181
76050,176
76051,176
76052,178
76053,173
76054,171
76055,168
76056,167
76057,168
76058,167
76059,165
76060,166
76061,168
76062,168
76063,167
76064,167
76065,169
76066,168
76067,169
76068,171
76069,169
76070,171
76071,172
76072,171
76073,171
76074,171
76075,171
76076,169
76077,166
76078,166
76079,167
76080,165
76081,165
76082,168
76083,167
76084,167
76085,166
76086,164
76087,162
76088,162
76089,163
76090,164
76091,164
76092,167
76093,163
76094,163
76095,164
76096,161
76097,161
76098,162
76099,162
76100,161
76101,162
76102,162
76103,162
76104,161
76105,162
76106,162
76107,163
76108,163
76109,163
76110,164
76111,165
76112,165
76113,164
76114,164
76115,167
76116,166
76117,167
76118,165
76119,164
76120,161
76121,161
76122,161
76123,161
76124,160
76125,158
76126,159
76127,157
76128,159
76129,162
76130,160
76131,160
76132,157
76133,153
76134,153
76135,156
76136,158
76137,156
76138,154
76139,155
76140,154
76141,154
76142,151
76143,150
76144,148
76145,147
76146,147
76147,146
76148,147
76149,146
76150,146
76151,148
76152,152
76153,152
76154,153
76155,152
76156,151
76157,151
76158,151
76159,149
76160,147
76161,145
76162,143
76163,145
76164,146
76165,142
76166,141
76167,143
76168,144
76169,148
76170,150
76171,150
76172,152
76173,150
76174,153
76175,155
76176,154
76177,155
76178,156
76179,157
76180,156
76181,156
76182,157
76183,158
76184,158
76185,161
76186,162
76187,161
76188,160
76189,161
76190,162
76191,161
76192,161
76193,162
76194,162
76195,164
76196,166
76197,168
76198,168
76199,165
76200,164
76201,163
76202,164
76203,163
76204,163
76205,165
76206,166
76207,168
76208,170
76209,170
76210,168
76211,168
76212,168
76213,168
76214,168
76215,167
76216,167
76217,164
76218,163
76219,164
76220,164
76221,164
76222,162
76223,164
76224,165
76225,166
76226,165
76227,166
76228,166
76229,167
76230,166
76231,168
76232,169
76233,169
76234,169
76235,169
76236,172
76237,173
76238,173
76239,173
76240,170
76241,169
76242,167
76243,168
76244,168
76245,169
76246,168
76247,168
76248,167
76249,167
76250,168
76251,165
76252,165
76253,165
76254,165
76255,163
76256,162
76257,161
76258,160
76259,160
76260,161
76261,158
76262,157
76263,158
76264,157
76265,157
76266,156
76267,157
76268,157
76269,158
76270,157
76271,156
76272,156
76273,155
76274,155
76275,157
76276,155
76277,159
76278,159
76279,158
76280,158
76281,159
76282,160
76283,158
76284,158
76285,157
76286,158
76287,154
76288,154
76289,152
76290,151
76291,149
76292,150
76293,152
76294,153
76295,153
76296,153
76297,152
76298,154
76299,153
76300,154
76301,156
76302,157
76303,158
76304,158
76305,160
76306,161
76307,162
76308,164
76309,165
76310,166
76311,166
76312,166
